xf_database,brand,customer,floor,area,unitcost,type1,type2,desci,longdesc,expirydate,sitegrade
XPOS,000000,00000,01,NULL,NULL,2,2,BeLLE(百麗)作廢,NULL,2016-12-31 00:00:00.000,010050A
XPOS,000100,00010,01,NULL,NULL,2,2,STACCATO(思加圖),NULL,2016-12-31 00:00:00.000,010070A
XPOS,000200,00020,01,NULL,NULL,2,2,TEENMIX(天美意),NULL,2020-12-31 00:00:00.000,010690B
XPOS,000300,00030,01,NULL,NULL,2,2,TATA(他她),NULL,2020-12-31 00:00:00.000,010030B
XPOS,000400,00040,01,NULL,NULL,2,2,C.BANNER(千百度),NULL,2020-12-31 00:00:00.000,010150B
XPOS,000500,00050,01,NULL,NULL,2,2,皮爾卡丹,NULL,2020-12-31 00:00:00.000,010580B
XPOS,000600,00060,01,NULL,NULL,2,2,HUSH PUPPIES(暇步士),NULL,2020-12-31 00:00:00.000,010260A
XPOS,000700,00070,01,NULL,NULL,2,2,MILLIE'S(妙麗),NULL,2020-12-31 00:00:00.000,010190A
XPOS,000800,00080,01,NULL,NULL,2,2,森林公主,NULL,2020-12-31 00:00:00.000,010140C
XPOS,000900,00090,01,NULL,NULL,2,2,ST&SAT(星期六),NULL,2016-12-31 00:00:00.000,010040A
XPOS,001000,00100,01,NULL,NULL,2,2,HANG TEN,NULL,2016-12-31 00:00:00.000,010090A
XPOS,001100,00110,01,NULL,NULL,2,2,Scholl(爽健),NULL,2020-12-31 00:00:00.000,010240B
XPOS,001200,00120,01,NULL,NULL,2,2,COMRADE(康莉),NULL,2016-12-31 00:00:00.000,010581B
XPOS,001300,00130,01,NULL,NULL,2,2,BASTO(百思圖),NULL,2020-12-31 00:00:00.000,010170B
XPOS,001400,00140,01,NULL,NULL,2,2,PHIDIAS(菲迪雅絲),NULL,2020-12-31 00:00:00.000,010120B
XPOS,001500,00150,01,NULL,NULL,2,2,NINE WEST(玖熙),NULL,2016-12-31 00:00:00.000,010220A
XPOS,001600,00160,01,NULL,NULL,2,2,FED,NULL,2016-12-31 00:00:00.000,010060A
XPOS,001700,00170,01,NULL,NULL,2,2,COMONI,NULL,2020-12-31 00:00:00.000,010100A
XPOS,001800,00180,01,NULL,NULL,2,2,MARIA(瑪莉亞),NULL,2020-12-31 00:00:00.000,010130C
XPOS,001900,00190,01,NULL,NULL,2,2,SAFIYA(索菲婭),NULL,2016-12-31 00:00:00.000,010120B
XPOS,002000,00200,01,NULL,NULL,2,2,ecco(愛步),NULL,2016-12-31 00:00:00.000,010230A
XPOS,002100,00210,01,NULL,NULL,2,2,DAPHNE(達芙妮),NULL,2020-12-31 00:00:00.000,010650B
XPOS,002200,00220,01,NULL,NULL,2,2,Walker shop(奧卡索),NULL,2016-12-31 00:00:00.000,010590A
XPOS,002300,00230,01,NULL,NULL,2,2,COUBER.G(傲巴斯),NULL,2020-12-31 00:00:00.000,010670B
XPOS,002400,00240,01,NULL,NULL,2,2,COEY,NULL,2016-12-31 00:00:00.000,010250B
XPOS,002500,00250,01,NULL,NULL,2,2,SANROCHER(聖琪兒),NULL,2016-12-31 00:00:00.000,010160B
XPOS,002600,00260,01,NULL,NULL,2,2,AEE(愛意),NULL,2020-12-31 00:00:00.000,010270A
XPOS,002700,00270,01,NULL,NULL,2,2,Le Saunda 萊爾斯丹,NULL,2016-12-31 00:00:00.000,010200A
XPOS,002800,00280,02,NULL,NULL,2,2,CARVEN,NULL,2020-12-31 00:00:00.000,020780B
XPOS,002900,00290,02,NULL,NULL,2,2,GALADAY,NULL,2020-12-31 00:00:00.000,020080B
XPOS,003000,00300,02,NULL,NULL,2,2,POWERLAND(保蘭德),NULL,2016-12-31 00:00:00.000,020090B
XPOS,003100,00310,04,NULL,NULL,2,2,NINO RIVA(尼諾里拉),NULL,2020-12-31 00:00:00.000,040940B
XPOS,003200,00320,02,NULL,NULL,2,2,KSTYLE,NULL,2020-12-31 00:00:00.000,020910B
XPOS,003300,00330,03,NULL,NULL,2,2,ADEMINA(艾狄米娜),NULL,2020-12-31 00:00:00.000,030930B
XPOS,003400,00340,03,NULL,NULL,2,2,西村名物,NULL,2020-12-31 00:00:00.000,030960B
XPOS,003500,00350,03,NULL,NULL,2,2,F8.派,NULL,2016-12-31 00:00:00.000,030950B
XPOS,003600,00360,04,NULL,NULL,2,2,eee 男鞋,NULL,2016-12-31 00:00:00.000,041090B
XPOS,003700,00370,04,NULL,NULL,2,2,Satchi(沙馳),NULL,2016-12-31 00:00:00.000,041020B
XPOS,003800,00380,04,NULL,NULL,2,2,WOLFF,NULL,2020-12-31 00:00:00.000,041100B
XPOS,003900,00390,04,NULL,NULL,2,2,CELE(策樂),NULL,2020-12-31 00:00:00.000,041160B
XPOS,004000,00400,02,NULL,NULL,2,2,SHOW LONG(舒朗),NULL,2020-12-31 00:00:00.000,020370A
XPOS,004100,00410,02,NULL,NULL,2,2,NAERSI(娜爾思),NULL,2016-12-31 00:00:00.000,020010A
XPOS,004200,00420,02,NULL,NULL,2,2,木真了,,2016-12-31 00:00:00.000,020420B
XPOS,004300,00430,02,NULL,NULL,2,2,LISA SMILE,NULL,2020-12-31 00:00:00.000,020410B
XPOS,004400,00440,02,NULL,NULL,2,2,ONLY(luxury),NULL,2020-12-31 00:00:00.000,020180A
XPOS,004500,00450,02,NULL,NULL,2,2,LAVINIA(拉維妮婭),NULL,2020-12-31 00:00:00.000,020270A
XPOS,004600,00460,03,NULL,NULL,2,2,Triumph(黛安芬),NULL,2016-12-31 00:00:00.000,030300B
XPOS,004700,00470,03,NULL,NULL,2,2,MANIFORM(曼妮芬),NULL,2016-12-31 00:00:00.000,030270B
XPOS,004800,00480,03,NULL,NULL,2,2,EBLIN,NULL,2016-12-31 00:00:00.000,030242B
XPOS,004900,00490,03,NULL,NULL,2,2,BODYPOPS,NULL,2016-12-31 00:00:00.000,030241B
XPOS,005000,00500,04,NULL,NULL,2,2,bossini(堡獅龍),NULL,2020-12-31 00:00:00.000,041320B
XPOS,005100,00510,03,NULL,NULL,2,2,MAUGAN,NULL,2020-12-31 00:00:00.000,030730B
XPOS,005200,00520,04,NULL,NULL,2,2,TEXWOOD(蘋果),NULL,2016-12-31 00:00:00.000,041130B
XPOS,005300,00530,04,NULL,NULL,2,2,LEE,NULL,2020-12-31 00:00:00.000,041150B
XPOS,005400,00540,04,NULL,NULL,2,2,LEVI'S(利惠),NULL,2020-12-31 00:00:00.000,041040B
XPOS,005500,00550,03,NULL,NULL,2,2,AZONE(夜龍),NULL,2020-12-31 00:00:00.000,030750B
XPOS,005600,00560,04,NULL,NULL,2,2,GIORDANO(佐丹奴),NULL,2020-12-31 00:00:00.000,040300B
XPOS,005700,00570,03,NULL,NULL,2,2,TRIBECA(翠貝卡),NULL,2016-12-31 00:00:00.000,030440A
XPOS,005800,00580,03,NULL,NULL,2,2,WANKO,NULL,2020-12-31 00:00:00.000,030460A
XPOS,005900,00590,03,NULL,NULL,2,2,BABY F.O.X,NULL,2020-12-31 00:00:00.000,030550A
XPOS,006000,00600,03,NULL,NULL,2,2,衣本色,NULL,2020-12-31 00:00:00.000,031010A
XPOS,006100,00610,03,NULL,NULL,2,2,翠柏,NULL,2020-12-31 00:00:00.000,030810B
XPOS,006200,00620,03,NULL,NULL,2,2,ESPRIT(女裝),NULL,2020-12-31 00:00:00.000,030040A
XPOS,006300,00630,03,NULL,NULL,2,2,淑女屋,NULL,2020-12-31 00:00:00.000,030570A
XPOS,006400,00640,04,NULL,NULL,2,2,歌德克依,NULL,2020-12-31 00:00:00.000,040570A
XPOS,006500,00650,04,NULL,NULL,2,2,吉諾裡茲,吉諾裡茲,2016-12-31 00:00:00.000,040590A
XPOS,006600,00660,04,NULL,NULL,2,2,JACK&JONES,NULL,2016-12-31 00:00:00.000,040410A
XPOS,006700,00670,04,NULL,NULL,2,2,ESPRIT男裝,NULL,2020-12-31 00:00:00.000,040450A
XPOS,006800,00680,02,NULL,NULL,2,2,馨雨竹,NULL,2016-12-30 00:00:00.000,020050A
XPOS,006900,00690,02,NULL,NULL,2,2,恒地,NULL,2020-12-31 00:00:00.000,020650B
XPOS,007000,00700,02,NULL,NULL,2,2,敦奴,NULL,2020-12-31 00:00:00.000,020030A
XPOS,007100,00710,04,NULL,NULL,2,2,PHITEN,NULL,2020-12-31 00:00:00.000,041220B
XPOS,007200,00720,04,NULL,NULL,2,2,三和松石,NULL,2020-12-31 00:00:00.000,041270B
