customer,charge,sedate,eedate,lowerbound,xf_percent
00000,C00000,2008-09-28 00:00:00.000,2008-09-30 00:00:00.000,0.00,19.00
00000,C00000,2008-10-01 00:00:00.000,2008-10-31 00:00:00.000,0.00,19.00
00000,C00000,2008-11-01 00:00:00.000,2008-11-30 00:00:00.000,0.00,19.00
00000,C00000,2008-12-01 00:00:00.000,2014-08-31 00:00:00.000,0.00,19.00
00000,C00000,2014-09-01 00:00:00.000,2020-06-30 00:00:00.000,0.00,18.00
00010,C00000,2008-09-28 00:00:00.000,2008-09-30 00:00:00.000,0.00,18.00
00010,C00000,2008-10-01 00:00:00.000,2008-10-31 00:00:00.000,0.00,18.00
00010,C00000,2008-11-01 00:00:00.000,2008-11-30 00:00:00.000,0.00,18.00
00010,C00000,2008-12-01 00:00:00.000,2008-12-31 00:00:00.000,0.00,18.00
00010,C00000,2009-01-01 00:00:00.000,2009-01-31 00:00:00.000,0.00,18.00
00010,C00000,2009-02-01 00:00:00.000,2009-02-28 00:00:00.000,0.00,18.00
00010,C00000,2009-03-01 00:00:00.000,2009-03-31 00:00:00.000,0.00,18.00
00010,C00000,2009-04-01 00:00:00.000,2009-04-30 00:00:00.000,0.00,18.00
00010,C00000,2009-05-01 00:00:00.000,2009-05-31 00:00:00.000,0.00,18.00
00010,C00000,2009-06-01 00:00:00.000,2009-06-30 00:00:00.000,0.00,18.00
00010,C00000,2009-07-01 00:00:00.000,2009-07-31 00:00:00.000,0.00,18.00
00010,C00000,2009-08-01 00:00:00.000,2009-08-31 00:00:00.000,0.00,18.00
00010,C00000,2009-09-01 00:00:00.000,2009-09-30 00:00:00.000,0.00,18.00
00010,C00000,2009-10-01 00:00:00.000,2009-10-31 00:00:00.000,0.00,18.00
00010,C00000,2009-11-01 00:00:00.000,2009-11-30 00:00:00.000,0.00,18.00
00010,C00000,2009-12-01 00:00:00.000,2009-12-31 00:00:00.000,0.00,18.00
00010,C00000,2010-01-01 00:00:00.000,2010-01-31 00:00:00.000,0.00,18.00
00010,C00000,2010-02-01 00:00:00.000,2010-02-28 00:00:00.000,0.00,18.00
00010,C00000,2010-03-01 00:00:00.000,2010-03-31 00:00:00.000,0.00,18.00
00010,C00000,2010-04-01 00:00:00.000,2010-04-30 00:00:00.000,0.00,18.00
00010,C00000,2010-05-01 00:00:00.000,2010-05-31 00:00:00.000,0.00,18.00
00010,C00000,2010-06-01 00:00:00.000,2010-06-30 00:00:00.000,0.00,18.00
00010,C00000,2010-07-01 00:00:00.000,2010-07-31 00:00:00.000,0.00,18.00
00010,C00000,2010-08-01 00:00:00.000,2010-08-31 00:00:00.000,0.00,18.00
00010,C00000,2010-09-01 00:00:00.000,2010-09-30 00:00:00.000,0.00,18.00
00010,C00000,2010-10-01 00:00:00.000,2010-10-31 00:00:00.000,0.00,18.00
00010,C00000,2010-11-01 00:00:00.000,2010-11-30 00:00:00.000,0.00,18.00
00010,C00000,2010-12-01 00:00:00.000,2010-12-31 00:00:00.000,0.00,18.00
00010,C00000,2011-01-01 00:00:00.000,2011-01-31 00:00:00.000,0.00,18.00
00010,C00000,2011-02-01 00:00:00.000,2011-02-28 00:00:00.000,0.00,18.00
