category,desci,longdesc
010000,女士輕便服裝,NULL
011100,長裙,NULL
011101,背心吊帶長裙,NULL
011102,吊帶長裙,NULL
011103,中庸裙,NULL
011104,全身長裙,NULL
011105,半腰長裙,NULL
011200,短裙,NULL
011201,背心吊帶短裙,NULL
011202,吊帶短裙,NULL
011203,半身短裙,NULL
011300,連衣裙,NULL
012100,裙褲,NULL
012200,長褲,NULL
012300,三個骨褲,NULL
012400,短褲,NULL
012500,牛仔褲,NULL
013100,線衫,NULL
013200,輕便外套,NULL
013201,風褸,NULL
013202,棉褸,NULL
013203,羽絨褸,NULL
013204,皮褸,NULL
013205,牛仔褸,NULL
013206,雨褸,NULL
013207,干濕褸,NULL
013300,毛衣,NULL
013301,長短袖-過頭毛衣,NULL
013302,長短袖-開腔毛衣,NULL
013303,長短袖-企領毛衣,NULL
013304,長短袖-V領毛衣,NULL
013305,長短袖-圓領毛衣,NULL
013400,背心,NULL
013401,企領背心,NULL
013402,開胸背心,NULL
013403,v領背心,NULL
013404,圓領背心,NULL
013405,有帽背心,NULL
013500,T恤,NULL
013501,長袖T恤,NULL
013502,短袖T恤,NULL
020000,女士上班服裝,NULL
021100,西裝套裙,NULL
021200,長裙,NULL
021201,中庸裙,NULL
021202,全身長裙,NULL
021300,短裙,NULL
021400,背心裙,NULL
022100,西裝套褲,NULL
022200,裙褲,NULL
022300,長褲,NULL
022400,短褲,NULL
023100,襯衫,NULL
023101,長袖襯衫,NULL
023102,短袖襯衫,NULL
023200,正裝褸,NULL
023201,長褸,NULL
023202,中褸,NULL
023203,短褸,NULL
023300,背心,NULL
030000,女士成熟服裝,NULL
031100,長裙,NULL
031101,背心吊帶長裙,NULL
031102,吊帶長裙,NULL
031103,中腰裙,NULL
031104,全身套裙,NULL
031105,半身套裙,NULL
031200,短裙,NULL
031201,背心吊帶短裙,NULL
031202,吊帶短裙,NULL
031203,半身短裙,NULL
031300,連衣裙,NULL
032100,裙褲,NULL
032200,長褲,NULL
032300,三個骨褲,NULL
032400,短褲,NULL
032500,牛仔褲,NULL
033100,襯衫,NULL
033101,長袖襯衫,NULL
033102,短袖襯衫,NULL
033200,正裝褸,NULL
033201,長褸,NULL
033202,中褸,NULL
033203,短褸,NULL
033300,毛衣,NULL
033301,長短袖-過頭毛衣,NULL
033302,長短袖-開腔毛衣,NULL
033303,長短袖-企領毛衣,NULL
033304,長短袖-V領毛衣,NULL
033305,長短袖-圓領毛衣,NULL
033400,外套,NULL
033401,長褸,NULL
033402,中褸,NULL
033403,短褸,NULL
033500,背心,NULL
033501,開胸背心,NULL
033502,套頭背心,NULL
033600,輕便外套,NULL
033601,風褸,NULL
033602,棉褸,NULL
033603,羽絨褸,NULL
033604,皮褸,NULL
033605,牛仔褸,NULL
033606,雨褸,NULL
033607,干濕褸,NULL
040000,女仕內衣,NULL
041100,胸罩,NULL
041101,罩胸罩,NULL
041102,胸罩連腰封,NULL
041103,全身胸罩,NULL
041200,內衣,NULL
041201,長袖內衣,NULL
041202,短袖內衣,NULL
041203,無袖內衣,NULL
041204,連身內衣,NULL
041205,半截襯裙,NULL
041206,全身襯裙,NULL
041207,吊帶背心,NULL
041208,背心,NULL
041209,內衣套裝,NULL
041210,保暖內衣套裝,NULL
041300,內褲,NULL
041301,高腰內褲,NULL
041302,中腰內褲,NULL
041303,低腰內褲,NULL
041304,三角內褲,NULL
041305,收腹內褲,NULL
041306,丁字褲,NULL
041307,平腳褲,NULL
041308,短褲,NULL
042100,睡衣,NULL
042101,長袖睡衣,NULL
042102,短袖睡衣,NULL
042103,家居服套裝,NULL
042104,睡褲,NULL
042200,睡袍,NULL
042201,長袖睡袍,NULL
042202,短袖睡袍,NULL
042203,吊帶睡袍,NULL
042300,晨褸,NULL
042400,睡前服,NULL
043100,泳衣,NULL
043200,跳舞衣,NULL
043300,襪,NULL
043301,絲襪,NULL
043302,棉襪,NULL
043400,腰封,NULL
043500,孕婦裝,NULL
043600,運動裝,NULL
043601,運動上衣,NULL
043602,運動下身,NULL
043603,運動套裝,NULL
043700,束身內衣,NULL
043701,短袖束身內衣,NULL
043702,長袖束身內衣,NULL
050000,女仕飾物,NULL
051000,頭飾類,NULL
051100,頭夾,NULL
051200,發夾,NULL
051300,頭繩,NULL
051500,頭飾類-其他,NULL
052000,首飾,NULL
052100,戒指,NULL
052200,項鏈,NULL
052300,手鏈,NULL
052400,手鐲,NULL
052500,耳環,NULL
052600,襟飾,NULL
052700,開衣中扣,NULL
052800,其他,NULL
052900,手錶,NULL
053100,頭巾,NULL
053101,"大方巾,長巾,小方巾",NULL
053200,絲巾,NULL
053300,手巾,NULL
053400,袋巾,NULL
053500,圍巾,NULL
054100,雨衣,NULL
054200,雨傘,NULL
054201,"長傘,短傘,陽傘",NULL
054300,雨鞋,NULL
055100,單帽,NULL
055101,草帽,NULL
055102,陽帽,NULL
055103,布帽,NULL
055200,保暖帽,NULL
055201,絨帽,NULL
055202,線帽,NULL
055203,綿帽,NULL
055204,皮帽,NULL
056100,裝飾手套,NULL
056101,絨手套,NULL
056102,布手套,NULL
056200,保暖手套,NULL
056201,絨手套,NULL
056202,皮手套,NULL
057000,太陽眼鏡,NULL
058100,腰帶,NULL
058101,皮帶,NULL
058102,仿皮,NULL
058103,布織,NULL
058104,其它,NULL
058200,腰鏈,NULL
059100,化妝袋,NULL
059200,化裝用具,NULL
059201,鉗,NULL
059202,掃,NULL
059203,鏷,NULL
059204,梳,NULL
059205,鏡,NULL
060000,女仕手袋及皮件,NULL
061000,背包/背囊,NULL
062000,女士手袋,NULL
062100,背包,NULL
062200,提包,NULL
062300,夾包,NULL
062400,肩袋,NULL
062500,斜肩袋,NULL
063000,公文包,NULL
064100,銀包,NULL
064200,名片夾,NULL
064300,匙包,NULL
064400,記事簿皮,NULL
064500,硬幣包,NULL
064600,手提電話護袋,NULL
070000,女仕皮鞋,NULL
071000,輕便鞋,NULL
071100,爬上鞋,NULL
071200,運動鞋,NULL
071300,布鞋,NULL
071400,休閑鞋,NULL
072000, 涼鞋,NULL
072200,女式涼鞋,NULL
073000,晚裝鞋,NULL
074000,單鞋,NULL
074100,中跟單鞋,NULL
074200,矮跟單鞋,NULL
074300,平底單鞋,NULL
074400,厚底單鞋,NULL
075100,長靴,NULL
075200,中靴,NULL
075300,短靴,NULL
076000,拖鞋,NULL
076200,女式拖鞋,NULL
077300,襯花矮皮鞋,NULL
080000,珠寶首飾,NULL
081100,純黃金,NULL
081101,純黃金首飾,NULL
081102,純黃金擺件,NULL
081200,K黃金,NULL
081201,K黃金首飾,NULL
081202,K黃金擺件,NULL
082100,純白金,NULL
082101,純白金首飾,NULL
082102,純白金擺件,NULL
082200,銀合金,NULL
082201,銀合金首飾,NULL
082202,銀合金擺件,NULL
083100,純金白金,NULL
083200,K金白金,NULL
084100,散鑽,NULL
084200,純白金鑲鑽,NULL
084300,K白金鑲鑽,NULL
084400,其他鑲鑽,NULL
085100,玉石,NULL
085101,玉石掛件,NULL
085102,玉石擺件,NULL
085103,玉石首飾,NULL
085200,金托玉飾,NULL
085201,純金托玉飾,NULL
085202,k金托玉飾,NULL
085300,銀托玉飾,NULL
085301,純銀托玉飾,NULL
085302,滾銀托玉飾,NULL
085400,其他玉器,NULL
086100,紅寶,NULL
086200,藍寶,NULL
086300,天然石,NULL
086400,鎬石,NULL
086500,琥珀,NULL
086600,其他寶石,NULL
086601,其他,NULL
090000,化妝品,NULL
091100,眼部彩妝系列,NULL
091101,眼影,NULL
091102,眉筆,NULL
091103,眼線筆,NULL
091104,眼線筆,NULL
091105,睫毛液,NULL
091200,唇裝彩妝系列,NULL
091201,唇筆,NULL
091202,唇膏,NULL
091203,唇彩,NULL
091300,面部彩妝系列,NULL
091301,"粉底(干, 濕)",NULL
091302,胭脂,NULL
091303,碎粉,NULL
091304,鼻影,NULL
091400,香氛部彩妝系列,NULL
091401,指甲油,NULL
091402,香水,NULL
091500,其他彩妝系列,NULL
092100,洗面乳/洗面膏,NULL
092200,爽膚水/化妝水,NULL
092300,日霜,NULL
092400,晚霜,NULL
092500,眼霜,NULL
092600,面膜,NULL
092700,防曬/美白系列,NULL
092800,磨砂系列,NULL
092900,其他護膚系列,NULL
093100,卸妝用品,NULL
093101,卸妝乳,NULL
093103,卸妝水,NULL
093200,配件,NULL
093300,其他秀發護理,NULL
093400,其他潔身用品,NULL
100000,男士經便服,NULL
101000,線衫,NULL
102000,背心,NULL
103000,套裝,NULL
104100,外衣長褸,NULL
104200,外衣中褸,NULL
104300,外衣短褸,NULL
105000,男士襯衣,NULL
105100,短袖有領襯衣,NULL
105200,長袖有領襯衣,NULL
106000,T恤,NULL
106100,長袖T恤,NULL
106101,反領,NULL
106200,男士短袖T恤,NULL
107100,長褲,NULL
107200,短褲,NULL
108000,休閑外衣,NULL
108100,風褸,NULL
108200,棉褸,NULL
108300,羽絨褸,NULL
108400,皮褸,NULL
108500,牛仔褸,NULL
108600,雨褸,NULL
109100,反領毛衣,NULL
109200,開腔毛衣,NULL
109300,企領毛衣,NULL
109400,V領毛衣,NULL
109500,圓領毛衣,NULL
109600,有帽毛衣,NULL
110000,男上班服,NULL
111000,男士恤衫,NULL
111100,長袖恤衫,NULL
111200,短袖恤衫,NULL
112000,西褲,NULL
113000,西裝,NULL
114100,2件套,NULL
114200,3件套,NULL
115100,長褸外衣,NULL
115200,中褸外衣,NULL
115300,短褸外衣,NULL
116000,背心,NULL
117000,毛衣,NULL
117100,反領毛衣,NULL
117200,開腔毛衣,NULL
117300,企領毛衣,NULL
117400,V領毛衣,NULL
117500,圓領毛衣,NULL
120000,男仕內衣,NULL
121000,背心,NULL
122100,長袖內衣,NULL
122200,短袖內衣,NULL
122300,V領內衣,NULL
122400,圓領內衣,NULL
122500,內衣套裝,NULL
122600,保暖內衣套裝,NULL
123000,內褲,NULL
123100,三角褲,NULL
123200,平腳褲,NULL
123300,短褲,NULL
124000,男仕睡褲,NULL
124100,長睡褲,NULL
124200,短睡褲,NULL
124300,家居服套裝,NULL
125100,長袖睡衣,NULL
125200,短袖睡衣,NULL
126100,上班襪,NULL
126200,休閒襪,NULL
127000,晨褸,NULL
128000,沙灘褲,NULL
129000,泳褲,NULL
130000,男士配飾,NULL
131000,服裝配适,NULL
131100,吊帶,NULL
131200,領帶,NULL
131300,領帶夾,NULL
131400,袖口鈕,NULL
132100,袋巾,NULL
132200,手帕,NULL
132300,頭巾,NULL
132400,圍巾,NULL
133100,布帽,NULL
133200,絨帽,NULL
134100,絨手套,NULL
134200,皮手套,NULL
134300,布手套,NULL
135000,太陽眼鏡,NULL
136100,火機,NULL
136200,煙斗,NULL
136300,軍力,NULL
136500,匙扣,NULL
136800,筆,NULL
136801,筆芯,NULL
140000,皮具及手袋,NULL
141000,皮包,NULL
141200,提包,NULL
141400,腰包,NULL
142000,公文包,NULL
143000,皮帶,NULL
143100,皮帶,NULL
144100,名片夾,NULL
144200,硬幣包,NULL
144300,記事簿,NULL
144400,匙包,NULL
144500,銀包,NULL
144600,手提電話護袋,NULL
144700,小皮件-其他,NULL
144701,筆套,NULL
144702,CD套,NULL
144703,打火機套,NULL
144704,煙盒套,NULL
150000,男仕鞋,NULL
151000,男式皮鞋,NULL
151100,牛皮鞋,NULL
151200,鹿皮鞋,NULL
