season,desci,longdesc,nwseason
010000,女仕輕便服裝,NULL,010000
020000,女仕上班服裝,NULL,020000
030000,女仕成熟服裝,NULL,030000
040000,女士內衣,NULL,040000
050000,女仕飾物,NULL,050000
060000,女仕手袋及皮件,NULL,060000
070000,女仕皮鞋,NULL,070000
080000,珠寶首飾,NULL,080000
090000,化妝品,NULL,090000
100000,男仕輕便服裝,NULL,100000
110000,男仕上班服裝,NULL,110000
120000,男仕內衣,NULL,120000
140000,男仕皮具及手袋,NULL,140000
150000,男仕皮鞋,NULL,150000
170000,UNISEX男女休閒服,NULL,170000
200000,兒童服裝,NULL,200000
250000,玩具其他,NULL,250000
260000,運動服裝及用品,NULL,260000
320000,鐘表,NULL,320000
360000,文具,NULL,360000
370000,眼鏡,NULL,370000
390000,玩具,NULL,390000
400000,家庭用品,NULL,400000
410000,床上用品,NULL,410000
420000,寢室家具,NULL,420000
430000,旅行用品,NULL,430000
460000,小型家庭電器,NULL,460000
999900,遞延調整,NULL,999900
999999,顧客服務,NULL,999999
A00040,ADIDAS(阿狄達斯),ADIDAS(阿狄達斯),A00040
A00170,AUPRES(歐珀萊),NULL,A00170
A00190,AUSSINO(澳西奴),NULL,A00190
A00210,AZONA(阿桑娜),NULL,A00210
A00390,BURBERRY (博柏利),NULL,A00390
A00450,CALLISTO(卡利斯特),NULL,A00450
A00510,CASABLANCA(卡撒天嬌),CASABLANCA(卡撒天嬌),A00510
A00600,CLARKS (其樂),NULL,A00600
A00630,CROCODILE (鱷魚恤),鱷魚恤,A00630
A00770,E.LAND(衣戀),NULL,A00770
A00780,ELLE,ELLE,A00780
A00810,EMBRY FORM(安莉芳),NULL,A00810
A00890,ESPRIT,NULL,A00890
A00940,ETAM (艾格),NULL,A00940
A00970,FED INTERNATIONAL,NULL,A00970
A01000,FION (菲安妮),FION (菲安妮),A01000
A01130,GIORDANO (佐丹奴),NULL,A01130
A01240,HUSH PUPPIES (暇步士,NULL,A01240
A01340,MARJA KURKI(瑪麗亞.,NULL,A01340
A01451,KOSE/BEAUTE DE KOSE(,NULL,A01451
A01480,LE SAUNDA(萊爾斯丹),NULL,A01480
A01490,LACOSTE,NULL,A01490
A01510,LEE,NULL,A01510
A01520,LEGO(樂高),NULL,A01520
A01560,LEO(里奧),NULL,A01560
A01600,ELIZABETH ARDEN(伊莉,ELIZABETH ARDEN(伊莉莎伯雅頓),A01600
A01630,L'OREAL(歐萊雅),NULL,A01630
A01770,MAYBELLINE(美寶蓮),NULL,A01770
A01900,MIZUNO(美津濃),NULL,A01900
A01990,MYSHEROS VIE(蜜雪兒),NULL,A01990
A02020,NINE WEST(玖熙),NULL,A02020
A02040,MICKEY MOUSE(米奇妙),NULL,A02040
A02070,ONLY,NULL,A02070
A02120,PARKER(派克),NULL,A02120
A02180,PIERRE CARDIN(皮爾 ,NULL,A02180
A02440,SATCHI(沙馳),SATCHI(沙馳),A02440
A02500,SINO(一點紅),NULL,A02500
A02510,SISLEY (希思黎),NULL,A02510
A02720,TRIUMPH INTERNATIONA,NULL,A02720
A02920,WACOAL(華歌爾),NULL,A02920
A02930,WOLSEY(金狐狸),NULL,A02930
A03550,MANIFORM(曼妮芬),NULL,A03550
A03660,TSE SUI LUEN(謝瑞麟),NULL,A03660
A03730,VIVIAN,NULL,A03730
A03760,BELLE(百麗),NULL,A03760
A03850,MONTAGUT(夢特嬌),MONTAGUT(夢特嬌),A03850
A03990,VICUTU(威可多),NULL,A03990
A04020,YOUNGOR(雅戈爾),NULL,A04020
A04330,LES ENPHANTS(麗嬰房),NULL,A04330
A04400,BARBIE(芭比),NULL,A04400
A04430,SCHIESSER(舒雅),NULL,A04430
A05060,OSIM(傲勝),NULL,A05060
A05280,ORDIFEN(歐迪芬),NULL,A05280
A05360,淑女屋,NULL,A05360
A05550,ARTINI(雅天妮),ARTINI(雅天妮),A05550
A05780,五糧液,NULL,A05780
A05950,COCA COLA(可口可樂),NULL,A05950
A06190,YUE SAI(羽西),NULL,A06190
A06490,PANASONIC(松下),NULL,A06490
A06890,PHILIPS(飛利浦),NULL,A06890
A07020,CONCH(海螺),NULL,A07020
A07040,SONY(索尼),NULL,A07040
A07420,ASD(愛仕達),NULL,A07420
A07520,DAPHNE(達芙妮),NULL,A07520
A07910,DAMA(黛瑪),DAMA(黛瑪),A07910
A09310,C.BANNER(千百度),NULL,A09310
A12530,譚木匠,NULL,A12530
A25680,BOSSINI(堡獅龍),NULL,A25680
A25910,CARVEN,NULL,A25910
A25930,CASIO(卡西歐),NULL,A25930
A26580,ESKO(依斯高),ESKO(依斯高),A26580
A28430,NEW BALANCE(新百倫),NULL,A28430
A28460,NIKKO(日高),NULL,A28460
A29670,ZIPPO(之寶),NULL,A29670
A30080,三槍,NULL,A30080
A33110,OIL OF OLAY(玉蘭油),NULL,A33110
A33500,ELECTROLUX(伊萊克斯),NULL,A33500
A34030,GOODBABY(好孩子),NULL,A34030
A34210,安睡寶,NULL,A34210
A34640,米奇,NULL,A34640
A34760,老爺車,NULL,A34760
A34890,EIFFEL(艾菲爾),NULL,A34890
A35520,LI-NING(李寧),NULL,A35520
A35990,YADU(亞都),NULL,A35990
A37610,TIGER,NULL,A37610
A37700,GOLDLION(金利來),NULL,A37700
A38090,ASUKA(阿思家),NULL,A38090
A39160,柯達,NULL,A39160
A40120,英氏,NULL,A40120
A40190,DISNEY(迪士尼),NULL,A40190
A41490,HAOSHA/HOSA(浩沙),NULL,A41490
A41600,REEBOK(銳步),NULL,A41600
A42630,康妮雅,NULL,A42630
