txdate,storecode,tillid,tendercode,cashfloat,cashfloatbase,depositdr,depositdrbase,depositcr,depositcrbase,salesdr,salesdrbase,salescr,salescrbase,pettycash,pettycashbase,cashlift,cashliftbase,excessmoney
2010-01-01 00:00:00.000,11014,47,CH,500.00,500.00,0.00,0.00,0.00,0.00,81.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,CH,500.00,500.00,0.00,0.00,0.00,0.00,23042.90,23042.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,21,CH,500.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.00,500.00,0.00
2010-01-01 00:00:00.000,11014,14,CH,500.00,500.00,0.00,0.00,0.00,0.00,26582.60,26582.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,11,CH,25000.00,25000.00,0.00,0.00,0.00,0.00,5720.60,5720.60,18284.70,18284.70,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,08,CH,500.00,500.00,0.00,0.00,0.00,0.00,18639.20,18639.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,CH,500.00,500.00,0.00,0.00,0.00,0.00,29977.50,29977.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,CH,500.00,500.00,0.00,0.00,0.00,0.00,24911.40,24911.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,CH,500.00,500.00,0.00,0.00,0.00,0.00,34098.40,34098.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,CH,500.00,500.00,0.00,0.00,0.00,0.00,37677.10,37677.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,46,CH,500.00,500.00,0.00,0.00,0.00,0.00,19216.10,19216.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,05,CH,500.00,500.00,0.00,0.00,0.00,0.00,12080.00,12080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,09,CH,500.00,500.00,0.00,0.00,0.00,0.00,19631.00,19631.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,30,CH,500.00,500.00,0.00,0.00,0.00,0.00,39618.00,39618.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,CH,500.00,500.00,0.00,0.00,0.00,0.00,29976.60,29976.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,39,CH,500.00,500.00,0.00,0.00,0.00,0.00,29285.20,29285.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,20,CH,500.00,500.00,0.00,0.00,0.00,0.00,18115.20,18115.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,30,AG,0.00,0.00,0.00,0.00,0.00,0.00,53999.00,53999.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,01,CH,500.00,500.00,0.00,0.00,0.00,0.00,23337.90,23337.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,17,CH,500.00,500.00,0.00,0.00,0.00,0.00,24677.20,24677.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,22,AG,0.00,0.00,0.00,0.00,0.00,0.00,52609.00,52609.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,14,DK,0.00,0.00,0.00,0.00,0.00,0.00,11190.00,11190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,17,AG,0.00,0.00,0.00,0.00,0.00,0.00,60300.10,60300.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,20,XD,0.00,0.00,0.00,0.00,0.00,0.00,5746.40,5746.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,AG,0.00,0.00,0.00,0.00,0.00,0.00,90441.20,90441.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,AB,0.00,0.00,0.00,0.00,0.00,0.00,2577.00,2577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,DK,0.00,0.00,0.00,0.00,0.00,0.00,5074.50,5074.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,39,AG,0.00,0.00,0.00,0.00,0.00,0.00,48692.00,48692.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,31,OT,0.00,0.00,0.00,0.00,0.00,0.00,21149.50,21149.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,11,OT,0.00,0.00,0.00,0.00,0.00,0.00,10913.20,10913.20,20271.20,20271.20,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,CH,0.00,0.00,0.00,0.00,0.00,0.00,34923.90,34923.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,LF,0.00,0.00,0.00,0.00,0.00,0.00,352.40,352.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,AG,0.00,0.00,0.00,0.00,0.00,0.00,29743.30,29743.30,809.00,809.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,AG,0.00,0.00,0.00,0.00,0.00,0.00,113302.30,113302.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,11,XD,0.00,0.00,0.00,0.00,0.00,0.00,9474.20,9474.20,10563.20,10563.20,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,DK,0.00,0.00,0.00,0.00,0.00,0.00,8245.50,8245.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,41,AG,0.00,0.00,0.00,0.00,0.00,0.00,27806.60,27806.60,258.00,258.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,36,AG,0.00,0.00,0.00,0.00,0.00,0.00,30453.50,30453.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,18,CH,500.00,500.00,0.00,0.00,0.00,0.00,16460.60,16460.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,AG,0.00,0.00,0.00,0.00,0.00,0.00,48915.00,48915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,27,DK,0.00,0.00,0.00,0.00,0.00,0.00,10757.00,10757.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,02,DK,0.00,0.00,0.00,0.00,0.00,0.00,15658.10,15658.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,40,OT,0.00,0.00,0.00,0.00,0.00,0.00,22765.00,22765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010-01-01 00:00:00.000,11014,37,XD,0.00,0.00,0.00,0.00,0.00,0.00,4591.00,4591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
